EventType,TrafficMultiplier,ABTestGroup,SaleAmountEUR,BranchID
Normal,1.0,Variation2,1878.8192722805372,BR-003
Christmas,2.1,Control,1556.941913485389,BR-016
BlackFriday,4.3,Control,2220.325457128153,BR-016
Normal,1.0,Variation1,1362.7052393418974,BR-009
Valentine,4.2,Control,983.3876505442481,BR-012
Valentine,3.9,Control,1049.2561826242465,BR-010
Valentine,4.4,Control,1468.3169419135227,BR-014
Christmas,2.0,Control,1373.7115459685003,BR-006
Normal,1.0,Control,779.2474050415307,BR-009
Normal,1.0,Variation2,661.5191693381336,BR-006
Christmas,2.7,Variation1,1234.8100894105528,BR-002
BlackFriday,3.0,Control,2259.5796297770603,BR-003
Christmas,2.4,Variation1,843.3330461317125,BR-012
BlackFriday,4.8,Control,840.2538987687394,BR-009
BlackFriday,1.2,Variation2,1552.2815838913812,BR-006
Christmas,4.0,Variation2,102.00144238385073,BR-006
BlackFriday,4.2,Variation2,1696.3509403887733,BR-010
BlackFriday,4.0,Control,365.41487029215926,BR-014
Valentine,4.6,Control,1920.2079836082842,BR-013
Valentine,4.0,Control,1806.1001456425938,BR-001
Christmas,4.2,Control,2435.895484380693,BR-009
Christmas,2.0,Variation1,-602.2469239744175,BR-007
Valentine,2.6,Control,328.758356879573,BR-003
Valentine,3.6,Variation1,1857.4524035846416,BR-015
Normal,1.0,Variation1,1355.6349762768932,BR-003
Valentine,3.8,Control,362.16920659397255,BR-014
Normal,1.0,Control,1064.311706582183,BR-013
Normal,1.0,Control,-806.7397848386032,BR-014
Normal,1.0,Control,1109.986721145343,BR-005
Normal,1.0,Control,1408.3657337941333,BR-003
Valentine,2.4,Control,1586.6702511119815,BR-013
BlackFriday,1.3,Variation1,1064.916441607097,BR-006
Valentine,1.4,Control,1030.176383572685,BR-005
BlackFriday,1.2,Control,1213.0580015983182,BR-006
BlackFriday,2.1,Variation2,11.0774806101059,BR-012
Valentine,1.4,Control,1407.0497022835198,BR-008
Valentine,2.8,Control,611.0313580653665,BR-016
Normal,1.0,Variation2,2230.602619723983,BR-003
BlackFriday,1.2,Control,704.0516004675371,BR-013
Valentine,4.9,Variation1,1499.4828284343341,BR-004
Christmas,4.3,Variation2,2228.0906297460792,BR-007
Normal,1.0,Control,1178.502244151731,BR-001
Christmas,2.0,Control,1453.8222403896875,BR-015
Valentine,2.9,Variation1,751.6650498864694,BR-013
Normal,1.0,Control,613.3427548892937,BR-009
BlackFriday,3.7,Control,991.4605355763416,BR-011
Normal,1.0,Control,539.7038782026094,BR-003
Valentine,3.7,Control,694.0043995598262,BR-006
Christmas,3.4,Control,1731.0893587041055,BR-016
BlackFriday,3.4,Control,986.9703024709472,BR-017
Christmas,3.7,Variation1,1133.9673701159675,BR-015
Valentine,1.0,Control,381.97127545181837,BR-009
Valentine,4.3,Control,869.7733980464095,BR-014
BlackFriday,3.3,Control,754.9446098517245,BR-002
Valentine,3.3,Control,2118.6333880799475,BR-006
Christmas,1.4,Control,1095.7516433467345,BR-016
Valentine,1.7,Control,744.0590276810618,BR-017
Valentine,5.0,Control,2941.854509839807,BR-002
Valentine,1.1,Control,844.7534709776464,BR-017
BlackFriday,4.1,Variation2,1966.7870688182272,BR-012
Christmas,4.2,Control,1977.9443911837857,BR-013
Valentine,3.1,Variation1,2158.248345505018,BR-002
Christmas,2.5,Control,625.5866545240417,BR-011
BlackFriday,2.1,Control,1431.6380858062573,BR-015
Normal,1.0,Variation1,-658.7892641345333,BR-009
Valentine,4.0,Control,2356.4628240049997,BR-014
Normal,1.0,Control,1959.9523941010273,BR-017
Christmas,3.6,Variation1,-3261.440309986498,BR-015
Normal,1.0,Variation1,1147.6011370967924,BR-007
Christmas,4.1,Control,2810.387196868194,BR-017
Valentine,1.5,Variation2,474.0328435772708,BR-006
Christmas,3.8,Variation1,2088.852491834049,BR-009
Normal,1.0,Control,1514.5960759968311,BR-015
Valentine,1.7,Control,-1426.4854414845213,BR-004
Normal,1.0,Variation2,1902.0811442061713,BR-017
Christmas,3.5,Variation1,958.9764477357907,BR-003
Valentine,2.1,Control,1095.4119616337173,BR-010
Christmas,4.2,Variation1,1005.0375762235667,BR-016
Christmas,4.7,Variation1,939.2900243518332,BR-016
Christmas,4.2,Variation1,-1368.6956337397746,BR-008
BlackFriday,3.8,Control,1488.513039443728,BR-006
Normal,1.0,Control,1191.920635167122,BR-017
BlackFriday,2.5,Variation2,463.5581008350561,BR-006
Normal,1.0,Control,1934.5905329101345,BR-003
Normal,1.0,Control,-43.66123499695578,BR-011
Normal,1.0,Control,717.4850955672623,BR-006
Valentine,1.4,Control,1548.330452018213,BR-005
Valentine,4.8,Variation1,2385.735388250823,BR-013
BlackFriday,3.5,Control,2338.2563387186383,BR-011
Christmas,4.9,Variation1,636.5050750499873,BR-003
BlackFriday,2.8,Variation1,-2169.728157195219,BR-008
Normal,1.0,Variation2,183.00274935321542,BR-002
Normal,1.0,Control,440.75041466961534,BR-005
Christmas,1.7,Variation2,671.1910821153168,BR-014
Valentine,4.7,Variation2,-2169.075066589261,BR-002
Christmas,4.4,Variation1,1241.01747180181,BR-002
Christmas,1.8,Variation2,1066.1876015985379,BR-007
Christmas,1.7,Control,1754.0600859402346,BR-008
Christmas,3.8,Control,164.6748523709404,BR-002
Christmas,1.2,Variation2,141.87087407722416,BR-010
Christmas,3.6,Variation2,1514.997892908507,BR-004
BlackFriday,2.1,Control,878.2115150030425,BR-014
Normal,1.0,Variation2,2066.677490041917,BR-007
Normal,1.0,Variation2,954.9372032846181,BR-004
Valentine,2.1,Control,797.8684571439757,BR-002
Christmas,1.2,Control,774.3260025777798,BR-017
BlackFriday,2.7,Variation2,1793.38095198494,BR-010
Christmas,1.6,Control,1241.2170209444105,BR-003
BlackFriday,2.1,Control,893.622719688459,BR-017
BlackFriday,1.7,Control,1107.3857714733506,BR-017
Normal,1.0,Control,1191.698076906392,BR-013
Valentine,1.5,Variation1,1011.5655275574471,BR-004
Normal,1.0,Control,258.0718029437129,BR-007
Valentine,3.6,Variation1,1642.1816976846417,BR-008
BlackFriday,1.2,Control,1610.0194336974112,BR-011
Christmas,1.3,Control,1605.4984839058393,BR-012
Christmas,1.5,Control,365.6812540484037,BR-009
Christmas,4.4,Variation2,1460.290365382968,BR-005
Normal,1.0,Variation2,168.6602251138718,BR-011
BlackFriday,1.9,Control,1808.8581871834851,BR-012
Normal,1.0,Control,2419.15959993796,BR-003
BlackFriday,1.8,Variation1,1065.3294007888073,BR-007
Normal,1.0,Variation1,2102.626477662878,BR-014
Normal,1.0,Variation1,1212.777765785722,BR-008
Christmas,3.7,Control,1199.5080352048149,BR-013
Normal,1.0,Control,661.618378331814,BR-004
Valentine,4.7,Control,1714.6904890606909,BR-007
BlackFriday,2.3,Control,1028.4558585574691,BR-010
Normal,1.0,Control,1723.1464574644215,BR-002
BlackFriday,2.6,Control,2044.7134317504467,BR-015
BlackFriday,2.5,Variation2,557.9427686045218,BR-002
Valentine,2.4,Control,1514.5408853502763,BR-014
BlackFriday,2.7,Control,1666.6922546540998,BR-002
Normal,1.0,Variation2,1421.2787865250789,BR-015
Christmas,4.7,Variation2,2006.8685399117019,BR-002
BlackFriday,4.4,Variation1,1384.3530603934487,BR-003
Normal,1.0,Variation2,1260.0431625214878,BR-016
BlackFriday,1.2,Control,1293.4604723888253,BR-010
Valentine,4.5,Control,2030.5040631533411,BR-005
BlackFriday,5.0,Variation2,1844.2662489991385,BR-002
Normal,1.0,Control,-1783.0780343103977,BR-008
Christmas,2.4,Control,475.88844796247156,BR-010
Normal,1.0,Variation1,1411.8968352506906,BR-017
BlackFriday,3.5,Variation1,960.2576793757012,BR-015
BlackFriday,1.2,Control,752.8211707055538,BR-009
BlackFriday,2.6,Control,1245.7820132039446,BR-009
Normal,1.0,Control,347.80622033222215,BR-002
BlackFriday,3.1,Control,470.13124338345574,BR-006
Normal,1.0,Control,647.5263940775378,BR-006
Christmas,4.4,Variation1,1530.2794311108203,BR-001
Valentine,4.7,Control,2027.0909612660557,BR-015
Christmas,4.6,Control,791.0119524178821,BR-001
Christmas,4.7,Control,1036.6857741619854,BR-005
Christmas,1.8,Variation1,331.59106866023774,BR-001
Christmas,3.9,Control,1561.039628821821,BR-004
BlackFriday,2.6,Control,1148.8498547715665,BR-017
Christmas,1.8,Control,1144.7154191767956,BR-004
BlackFriday,2.6,Control,-1625.9431166659133,BR-011
BlackFriday,4.1,Variation2,2604.51741405119,BR-004
Christmas,2.6,Variation2,1558.8996904522273,BR-008
Normal,1.0,Control,1048.0797867620063,BR-010
Normal,1.0,Variation2,1092.503424369246,BR-004
Normal,1.0,Control,1127.5254678217811,BR-012
Valentine,4.9,Variation1,1376.0177027625712,BR-008
Christmas,1.9,Variation1,1211.523585405717,BR-007
Normal,1.0,Variation2,540.3958668792208,BR-005
BlackFriday,3.1,Variation2,330.8269759042559,BR-017
Christmas,2.1,Variation1,1002.5772313001545,BR-004
BlackFriday,1.7,Control,122.78510065548514,BR-016
Valentine,1.6,Control,-1253.6440699421241,BR-017
Valentine,1.4,Variation2,1760.080731917975,BR-005
Valentine,2.4,Variation2,745.2745970201047,BR-014
Valentine,1.7,Control,1056.5613755137567,BR-005
Normal,1.0,Variation1,270.377318033982,BR-007
Christmas,3.4,Variation1,1080.0560847475192,BR-014
Valentine,1.5,Control,2200.819319234323,BR-001
Normal,1.0,Control,1144.7032181270024,BR-003
Valentine,3.2,Control,1874.8576892589492,BR-006
Valentine,3.3,Control,2041.9552963321053,BR-011
Valentine,4.1,Variation1,1275.5558348487932,BR-007
Christmas,2.6,Variation1,926.1322466719199,BR-017
BlackFriday,3.0,Control,-361.69849939639516,BR-006
Valentine,1.7,Variation2,145.92020105061502,BR-001
Christmas,3.6,Variation1,1744.1972481824598,BR-005
Normal,1.0,Control,825.7568321038062,BR-001
Christmas,3.0,Variation1,1401.9492869673559,BR-016
BlackFriday,4.9,Variation2,1006.928278979002,BR-010
Normal,1.0,Variation1,503.03962580657907,BR-017
Christmas,3.6,Control,467.051444170914,BR-003
BlackFriday,4.6,Variation1,1880.4744578040718,BR-007
BlackFriday,4.0,Variation1,1074.9110480769973,BR-011
Valentine,4.8,Variation2,2985.484867040136,BR-003
Normal,1.0,Variation1,866.4401150742107,BR-013
BlackFriday,2.5,Variation1,434.3882480649515,BR-005
Valentine,1.0,Control,1154.6217081777772,BR-005
Normal,1.0,Control,1792.4225726879401,BR-002
Normal,1.0,Control,575.6788659798603,BR-010
Valentine,4.6,Variation1,-2936.560025084952,BR-004
Christmas,4.3,Variation1,-1319.6198831925287,BR-017
Christmas,3.5,Variation1,2430.622573660654,BR-005
BlackFriday,3.0,Control,986.2412145679914,BR-014
Valentine,4.4,Control,1631.9314191417384,BR-013
Normal,1.0,Variation2,483.93549251506585,BR-002
Normal,1.0,Control,-1217.2258083569616,BR-006
Normal,1.0,Variation1,989.5105797093839,BR-017
Normal,1.0,Control,1100.9525184852732,BR-014
Valentine,3.5,Variation2,1341.483136282026,BR-015
BlackFriday,4.6,Control,2014.302712657121,BR-012
Christmas,1.6,Variation2,1825.4399326214739,BR-011
Normal,1.0,Control,-263.3858887482661,BR-010
Valentine,3.4,Control,1083.5487364372634,BR-002
BlackFriday,3.8,Control,1709.3045367664452,BR-012
Valentine,2.1,Control,1798.8452928990284,BR-002
Christmas,4.7,Control,1714.9184933974116,BR-009
BlackFriday,1.8,Control,895.6723364856496,BR-014
Valentine,2.0,Variation1,2425.14988649083,BR-014
Normal,1.0,Variation2,580.1996702124918,BR-005
Valentine,2.9,Control,1976.7397574647175,BR-012
Valentine,2.9,Control,2846.7325423180478,BR-007
Valentine,2.9,Variation2,1931.097528400884,BR-006
Christmas,3.1,Variation1,1385.9555222683591,BR-005
Christmas,3.2,Control,1078.082947394072,BR-013
BlackFriday,4.9,Control,-1558.843358793191,BR-009
Valentine,1.1,Variation1,1640.9394318884838,BR-007
Valentine,4.9,Control,2588.610120567786,BR-009
Valentine,1.2,Control,2271.194344829081,BR-014
Valentine,4.3,Control,408.83756913263346,BR-007
Valentine,3.4,Variation2,157.6538349970847,BR-006
Normal,1.0,Control,1644.448465961764,BR-007
Valentine,3.7,Control,250.27974165402406,BR-009
Normal,1.0,Variation1,830.3233556941119,BR-002
BlackFriday,3.4,Variation1,1310.0048692794333,BR-001
BlackFriday,2.2,Variation1,2053.7427446719676,BR-011
Valentine,3.3,Variation1,2551.43800108824,BR-009
Normal,1.0,Variation1,1256.6974378990228,BR-014
Normal,1.0,Variation2,1153.2937660932682,BR-010
BlackFriday,3.3,Variation2,2242.5660430855887,BR-012
Normal,1.0,Control,550.1019463647768,BR-010
Normal,1.0,Variation2,341.22037990590457,BR-004
BlackFriday,3.5,Variation2,1873.962381434824,BR-007
Valentine,4.9,Control,1309.0268309414025,BR-013
Christmas,4.7,Control,929.1064382192953,BR-010
BlackFriday,2.9,Control,1778.0750173052263,BR-003
BlackFriday,2.2,Control,1338.4920045163324,BR-017
Valentine,4.8,Variation1,1614.788665613262,BR-001
Normal,1.0,Variation1,-1219.3654109905458,BR-002
Normal,1.0,Variation1,1659.4589653661562,BR-008
Normal,1.0,Variation2,1012.4476224572296,BR-005
Normal,1.0,Variation2,701.4676293862665,BR-005
BlackFriday,1.0,Variation1,800.9766330776953,BR-003
Valentine,2.8,Control,1594.805169193011,BR-012
Normal,1.0,Variation2,1054.0851706740766,BR-017
Valentine,4.2,Variation1,-1653.808106661309,BR-002
Normal,1.0,Control,1934.2077992743828,BR-013
BlackFriday,4.5,Variation2,111.93855931258534,BR-008
BlackFriday,3.5,Control,1036.9473068773489,BR-011
Christmas,4.2,Variation1,1521.3499381374581,BR-003
Christmas,3.4,Variation2,2246.4557311449075,BR-013
Christmas,3.8,Control,1507.3100968541128,BR-003
Valentine,3.9,Control,1603.8483246056476,BR-007
Valentine,2.4,Control,395.0170062837062,BR-017
BlackFriday,1.2,Control,1925.668357349128,BR-017
Normal,1.0,Variation1,1354.394183943516,BR-004
BlackFriday,3.5,Control,1634.4702567308757,BR-008
Normal,1.0,Control,1032.0657864990658,BR-016
Normal,1.0,Variation1,801.2869257355488,BR-013
Normal,1.0,Variation1,975.0204705882708,BR-003
BlackFriday,4.6,Variation1,1511.4684517112717,BR-016
Christmas,4.3,Variation2,1659.4188737972368,BR-007
BlackFriday,2.0,Control,-1460.4276380497517,BR-009
BlackFriday,1.2,Control,1114.7008869754761,BR-013
Valentine,3.2,Control,2487.8496606265016,BR-005
Christmas,1.2,Variation1,1253.7764322355335,BR-010
Normal,1.0,Control,1158.0115858072731,BR-010
BlackFriday,3.9,Control,469.8669360311503,BR-005
Valentine,1.6,Control,1220.715788402751,BR-005
Normal,1.0,Control,1643.3335571766365,BR-001
Valentine,2.1,Control,1027.208878613487,BR-011
Valentine,5.0,Control,1280.4094196829096,BR-016
BlackFriday,4.9,Control,1173.080077477825,BR-004
BlackFriday,3.4,Control,1053.726850329799,BR-013
Valentine,1.7,Control,1175.863608454509,BR-014
BlackFriday,4.2,Variation1,1826.7072914219032,BR-012
Normal,1.0,Variation2,1201.5628807755963,BR-011
Valentine,4.3,Control,1779.4691414236556,BR-003
Christmas,2.3,Control,2221.7495350418985,BR-015
Valentine,1.1,Control,1010.0921350517019,BR-012
BlackFriday,3.0,Control,974.9487485372172,BR-009
Christmas,1.8,Variation1,916.9376568804984,BR-005
Valentine,4.6,Control,699.3508701454673,BR-002
Christmas,3.5,Variation2,102.86877079274498,BR-007
Normal,1.0,Control,1445.857996460796,BR-016
Normal,1.0,Control,90.21205121568546,BR-015
Normal,1.0,Variation1,631.087584529375,BR-012
BlackFriday,4.7,Control,652.8099651352874,BR-001
Normal,1.0,Control,311.8787377820392,BR-004
Normal,1.0,Control,-1707.6752036370026,BR-008
BlackFriday,3.8,Control,844.1743760764779,BR-009
Normal,1.0,Control,1953.6928779728814,BR-005
Christmas,1.1,Control,786.1098466398644,BR-015
Normal,1.0,Variation2,1388.9969228539471,BR-010
Christmas,2.3,Control,750.0501478755223,BR-015
BlackFriday,2.0,Control,1138.2956154403864,BR-013
Christmas,3.8,Variation2,1254.7572802389218,BR-017
Normal,1.0,Control,1008.4904172116304,BR-006
Normal,1.0,Variation2,1073.4025404302668,BR-001
Normal,1.0,Control,311.94456642906187,BR-013
BlackFriday,3.5,Variation1,464.68125193891325,BR-008
BlackFriday,1.9,Control,749.3100471813258,BR-017
BlackFriday,2.9,Variation1,1580.3016770785243,BR-008
Normal,1.0,Variation1,662.5686133178169,BR-013
Valentine,4.8,Control,1984.3846308712957,BR-014
Valentine,2.5,Variation2,1805.3413528406275,BR-016
BlackFriday,4.6,Control,970.0538748540467,BR-016
Christmas,4.8,Control,1237.5013356888765,BR-007
Christmas,3.5,Variation1,1033.6290058941718,BR-005
BlackFriday,1.5,Control,1391.036774100226,BR-011
Valentine,4.2,Control,687.8751415109406,BR-006
Normal,1.0,Control,1391.8825414503676,BR-006
BlackFriday,3.6,Control,1292.5643244947883,BR-007
Christmas,4.4,Variation1,2900.050947259456,BR-016
Christmas,1.5,Variation2,685.4347455716276,BR-006
BlackFriday,1.7,Variation1,382.2066325228646,BR-017
BlackFriday,1.6,Variation1,1296.9265846744888,BR-014
Normal,1.0,Variation1,2335.706335320443,BR-009
Normal,1.0,Control,116.00070081190222,BR-012
BlackFriday,1.3,Control,770.792436997581,BR-016
Christmas,4.7,Variation2,1030.555153098863,BR-015
Normal,1.0,Variation1,782.7254994388225,BR-011
Valentine,4.9,Variation2,2550.100742859603,BR-004
BlackFriday,4.0,Control,119.12796719381838,BR-017
Christmas,1.1,Control,1346.0369957585808,BR-016
Valentine,1.6,Control,164.2170472513867,BR-001
BlackFriday,2.2,Control,1474.3604048356178,BR-017
BlackFriday,1.5,Control,1004.8445007958383,BR-014
Normal,1.0,Control,646.0757863336877,BR-004
BlackFriday,2.8,Variation2,-1278.1832805160882,BR-014
Valentine,4.8,Control,539.9989481380765,BR-003
BlackFriday,3.3,Control,1495.347201252394,BR-011
BlackFriday,2.5,Control,1007.3062368246212,BR-013
Christmas,2.5,Variation1,902.2025235767626,BR-005
Normal,1.0,Variation1,233.01803221376665,BR-006
Christmas,2.2,Control,575.7025523551287,BR-008
BlackFriday,4.7,Control,1201.5338311123717,BR-006
Normal,1.0,Variation1,976.4421870970373,BR-017
BlackFriday,3.6,Control,1937.5025503096763,BR-011
Valentine,3.6,Control,938.3540462157434,BR-005
BlackFriday,2.0,Variation1,647.3028777381679,BR-013
Christmas,4.9,Control,2070.7078420993957,BR-004
Normal,1.0,Control,655.0685203476686,BR-001
Valentine,1.6,Control,2095.4341270318914,BR-007
BlackFriday,1.5,Control,838.485876066091,BR-004
Normal,1.0,Variation2,362.41285534455693,BR-012
Normal,1.0,Control,1944.5325052149426,BR-016
Christmas,3.2,Variation2,1476.6979599690324,BR-017
BlackFriday,1.7,Control,1759.5936126714805,BR-009
Normal,1.0,Control,1786.7673994061179,BR-011
Valentine,3.0,Variation2,51.90851691062222,BR-008
Valentine,4.5,Control,1737.0064551427943,BR-014
Christmas,1.3,Control,673.6540632811332,BR-012
BlackFriday,2.8,Control,1088.0629635146001,BR-006
BlackFriday,2.7,Variation2,1950.4101296833753,BR-002
Valentine,3.9,Control,1528.494350091799,BR-003
Christmas,4.6,Control,1553.1714084407265,BR-001
Valentine,3.3,Control,2581.336848569119,BR-011
Valentine,2.8,Variation2,2177.4009097090043,BR-004
Valentine,3.9,Control,718.1901847511197,BR-010
Christmas,1.0,Variation2,1439.671661404135,BR-013
Normal,1.0,Control,1162.7163626253187,BR-010
BlackFriday,4.5,Variation1,2190.1937382902747,BR-009
Valentine,2.2,Variation2,1482.5175105988797,BR-017
BlackFriday,1.8,Control,159.9654585893626,BR-003
BlackFriday,4.5,Variation1,1561.1139911969985,BR-002
Christmas,1.8,Control,690.1289290769714,BR-013
BlackFriday,1.9,Control,1709.6695392108156,BR-004
Christmas,4.3,Variation2,986.6379509896581,BR-010
Valentine,1.5,Variation2,887.6279400867966,BR-017
Christmas,1.3,Control,1531.609919122411,BR-016
Normal,1.0,Control,1975.1416836982537,BR-013
BlackFriday,4.7,Control,2140.7403443257253,BR-004
BlackFriday,1.8,Control,1373.1807854060153,BR-006
Normal,1.0,Variation1,1109.4144325029392,BR-008
BlackFriday,2.4,Control,2419.78502284728,BR-010
Normal,1.0,Control,1054.122562002153,BR-010
Valentine,3.9,Control,734.6367735207772,BR-017
Christmas,3.2,Control,1063.9986519156228,BR-004
Christmas,2.2,Variation1,652.0029741268369,BR-015
Valentine,3.5,Variation2,1166.9260841354746,BR-011
Normal,1.0,Control,1188.9357773232966,BR-003
Normal,1.0,Control,1031.3246328550865,BR-006
BlackFriday,1.5,Control,892.502662428791,BR-006
BlackFriday,3.2,Control,574.920476511116,BR-017
BlackFriday,4.0,Variation1,-1749.996870616049,BR-013
BlackFriday,3.7,Control,-1657.6917164376875,BR-009
Normal,1.0,Variation2,630.1079923854062,BR-004
Christmas,4.9,Control,460.6516451240209,BR-005
Valentine,1.4,Variation1,1318.0037616843238,BR-008
Christmas,3.1,Control,1517.0903564032374,BR-016
BlackFriday,1.7,Variation1,1205.7526858927038,BR-003
Christmas,4.9,Control,250.4029892170427,BR-009
Valentine,3.9,Control,1656.6860703472857,BR-012
Normal,1.0,Variation2,1421.1546825933933,BR-001
Christmas,3.4,Variation1,804.668174644283,BR-001
Normal,1.0,Variation1,598.8440812440833,BR-017
Christmas,2.9,Control,1684.2359287832335,BR-013
BlackFriday,4.9,Variation2,1715.082481772389,BR-003
Normal,1.0,Variation2,1196.021977751264,BR-001
Christmas,4.5,Control,1606.398818723889,BR-016
Normal,1.0,Control,879.9562527193864,BR-008
Valentine,4.8,Control,731.830304828097,BR-006
Valentine,2.6,Control,303.0071046996913,BR-007
Valentine,1.9,Control,1743.1941616051681,BR-016
Normal,1.0,Variation1,-1532.638025340713,BR-014
Normal,1.0,Variation2,458.5272122293778,BR-003
Christmas,2.0,Control,2145.463907563317,BR-017
Valentine,1.2,Control,1530.9533422227685,BR-012
Normal,1.0,Control,780.2734025845526,BR-006
Normal,1.0,Control,1327.1522055069436,BR-014
BlackFriday,2.5,Control,1012.2331246835226,BR-006
Christmas,1.4,Control,752.0670668271617,BR-016
Normal,1.0,Variation2,2224.5290016612407,BR-011
Christmas,4.4,Variation1,1029.4637162316926,BR-004
Normal,1.0,Variation2,132.78573155749774,BR-016
Christmas,1.3,Variation1,809.2588952387223,BR-008
BlackFriday,3.8,Control,1088.1993542554778,BR-015
Christmas,4.9,Control,999.7508718364791,BR-006
BlackFriday,4.2,Variation2,1338.274673238167,BR-005
Normal,1.0,Control,727.3316018976788,BR-006
Christmas,4.9,Control,2074.8446432441815,BR-003
BlackFriday,3.1,Control,175.18251782120836,BR-016
Christmas,4.6,Variation2,493.24649425259423,BR-016
Normal,1.0,Variation1,621.089468898672,BR-015
Normal,1.0,Control,1853.092930209518,BR-013
Valentine,4.5,Variation1,1440.1513743572293,BR-005
Valentine,2.7,Variation2,1080.7923762154487,BR-007
Valentine,4.9,Control,1353.1201384271744,BR-009
Christmas,2.0,Variation1,781.2020251607986,BR-017
Christmas,2.8,Variation1,335.0346892148055,BR-013
Normal,1.0,Variation2,1656.9830911387057,BR-003
BlackFriday,1.6,Variation2,617.2876673821456,BR-005
Valentine,2.2,Variation1,1201.349115894576,BR-006
BlackFriday,3.2,Control,1557.1533532037854,BR-013
Christmas,4.0,Control,1412.4069384240945,BR-004
BlackFriday,2.1,Variation2,889.3611342284628,BR-003
Normal,1.0,Control,1468.5254713311313,BR-011
Normal,1.0,Control,1283.3443169371335,BR-002
Christmas,4.5,Variation2,1879.3238239314458,BR-014
Christmas,4.4,Variation1,2273.759576226921,BR-013
Valentine,2.9,Variation2,1226.4838849659036,BR-003
Normal,1.0,Variation2,605.2571228769801,BR-014
Valentine,1.6,Variation2,1701.4894579692475,BR-012
Valentine,4.9,Control,1437.3683919081147,BR-014
Normal,1.0,Control,1426.8309956040773,BR-004
Valentine,1.2,Variation2,1623.9873614430983,BR-014
Valentine,3.3,Control,1690.7827594719822,BR-011
Valentine,3.8,Control,1656.8951716710576,BR-012
Christmas,1.7,Control,652.8009245612925,BR-006
Christmas,1.6,Variation2,604.3115813265921,BR-011
BlackFriday,4.7,Variation2,1604.1807685024028,BR-001
Valentine,4.8,Control,1313.3250056602394,BR-006
BlackFriday,1.0,Control,1902.597789624858,BR-012
BlackFriday,3.0,Control,1470.8057556384802,BR-009
Christmas,1.3,Variation1,977.047094967966,BR-013
BlackFriday,3.9,Variation2,626.8063712868661,BR-015
Christmas,1.8,Control,2347.201307452476,BR-005
BlackFriday,1.5,Variation2,1562.073308866394,BR-002
Christmas,2.5,Control,500.8670212120919,BR-005
Normal,1.0,Control,2134.4932532404137,BR-002
Christmas,4.6,Control,-574.2972012440953,BR-005
BlackFriday,3.4,Control,2098.290288030191,BR-003
Normal,1.0,Control,1005.3764947429061,BR-008
Normal,1.0,Variation2,1615.5376655770092,BR-009
Christmas,3.9,Variation2,1803.9292677190272,BR-009
Normal,1.0,Control,684.3800110792162,BR-017
BlackFriday,1.5,Control,653.5587951844163,BR-015
Christmas,2.7,Control,1651.5388127921137,BR-014
Christmas,4.5,Variation1,974.7339994532584,BR-006
Christmas,4.2,Control,1257.1116268874193,BR-001
BlackFriday,3.6,Variation2,1475.2671223085156,BR-011
Valentine,1.8,Control,624.1944948200015,BR-003
